"Date de réservation";"Début";"Fin";"Durée";"Salle";"Objet";"N° de l'organisateur";"Civilité";"Organisateur";"Type d'option";"Option";"Compte comptable";"Quantité";"Prix HT";"Taux de TVA";"Prix TTC";"Statut";"Type de document";"N° de document";"Date de document"
02/01/2023;09:00;18:00;"540";"Grande salle 9";;"10599";;"ASSISTEAL FORMATION";"Z_Arch22-23";"Salle 9 - 175 places - Journée";"70132";1;1232;0 %;1232;"Encaissée";"Facture";"F22230718";04/01/2023
02/01/2023;09:00;18:00;"540";"Petite salle 4";"(Réservation)";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Devis";"D22230608";07/12/2022
02/01/2023;09:00;18:00;"540";"Petite salle 1";"SIO 1";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Devis";"D22230608";07/12/2022
02/01/2023;09:00;18:00;"540";"Petite salle 4";"(Réservation)";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Facture";"F22230893";27/01/2023
02/01/2023;09:00;18:00;"540";"Petite salle 1";"SIO 1";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Facture";"F22230893";27/01/2023
02/01/2023;09:00;18:00;"540";"Petite salle 2";"SP3S";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Devis";"D22230608";07/12/2022
02/01/2023;09:00;18:00;"540";"Petite salle 2";"SP3S";"12995";;"CFA ISW EDUCATION";"Z_Arch22-23";"Salles 1,2 ou 4 - 19 places - Journée";"70112";1;211;0 %;211;"Encaissée";"Facture";"F22230893";27/01/2023
02/01/2023;09:00;18:00;"540";"Petite salle 1";"SIO 1";"12995";;"CFA ISW EDUCATION";"Z_Arch23-24";"Adhésion 2023 (C2)";"7002";1;80;0 %;80;"Encaissée";"Devis";"D22230608";07/12/2022
02/01/2023;09:00;18:00;"540";"Grande salle 9";;"10599";;"ASSISTEAL FORMATION";"Z_Arch23-24";"Adhésion 2023 (C2)";"7002";1;80;0 %;80;"Encaissée";"Facture";"F22230718";04/01/2023
02/01/2023;09:00;18:00;"540";"Petite salle 1";"SIO 1";"12995";;"CFA ISW EDUCATION";"Z_Arch23-24";"Adhésion 2023 (C2)";"7002";1;80;0 %;80;"Encaissée";"Facture";"F22230893";27/01/2023
