Mois; Facturé ;Encaissé;Nb Séances;taux occup.
;;;;
sept-23;37 949,50 €;32 064,50 €;239;39%
;;;;
oct-23;39 157,85 €;29 374,00 €;296;47%
;;;;
nov-23;38 258,20 €;30 357,50 €;230;40%
;;;;
déc-23;23 143,60 €;32 414,60 €;136;28%
;;;;
janv-24;39 648,40 €;38 642,00 €;273;44%
;;;;
févr-24;31 649,70 €;29 822,90 €;221;37%
;;;;
mars-24;35 240,60 €;39 706,95 €;242;38%
;;;;
avr-24;34 377,72 €;40 767,40 €;244;45%
;;;;
mai-24;23 512,00 €;30 547,00 €;185;31%
;;;;
juin-24;32 855,20 €;28 808,42 €;214;35%
;;;;
juil-24;15 977,38 €;27 690,30 €;100;16%
;;;;
Aout 24;;;;
